"id","offer_id","seo_term","region_id","filter_attribute","created_at"
3624,G1711459936324YH,wow-classic-item,ac3f85c1-7562-437e-b125-e89576b9a38e,lgc_29076_server:lgc_29076_server_40974,2025-07-25 15:32:50.758
3625,G1711459994689JS,wow-classic-item,ac3f85c1-7562-437e-b125-e89576b9a38e,lgc_29076_server:lgc_29076_server_40972,2025-07-25 15:32:50.759
3626,G1711460542704WF,wow-classic-item,ac3f85c1-7562-437e-b125-e89576b9a38e,lgc_29076_server:lgc_29076_server_40972,2025-07-25 15:32:51.100
3627,G1751552522594RP,wow-classic-item,dfced32f-2f0a-4df5-a218-1e068cfadffa,lgc_29076_platform:lgc_29076_platform_41161,2025-07-25 15:32:57.810
3628,G1751552522070TL,wow-classic-item,dfced32f-2f0a-4df5-a218-1e068cfadffa,lgc_29076_platform:lgc_29076_platform_41146,2025-07-25 15:32:57.831
3629,G1751552522369XI,wow-classic-item,dfced32f-2f0a-4df5-a218-1e068cfadffa,lgc_29076_platform:lgc_29076_platform_41149,2025-07-25 15:32:57.843
3630,G1710804820447PT,wow-classic-era-item,ac3f85c1-7562-437e-b125-e89576b9a38e,lgc_27816_dropdown_18:lgc_27816_dropdown_18_54769,2025-07-25 16:54:34.332
3631,G1706448428948ZX,wow-classic-era-item,ac3f85c1-7562-437e-b125-e89576b9a38e,lgc_27816_dropdown_18:lgc_27816_dropdown_18_54768,2025-07-25 16:54:34.335
3632,G1707235543779CO,wow-classic-era-item,ac3f85c1-7562-437e-b125-e89576b9a38e,lgc_27816_dropdown_18:lgc_27816_dropdown_18_54769,2025-07-25 16:54:34.343
3633,G1709733195583BD,wow-classic-era-item,ac3f85c1-7562-437e-b125-e89576b9a38e,lgc_27816_dropdown_18:lgc_27816_dropdown_18_54764,2025-07-25 16:54:34.355
3634,G1710804827199SM,wow-classic-era-item,ac3f85c1-7562-437e-b125-e89576b9a38e,lgc_27816_dropdown_18:lgc_27816_dropdown_18_54767,2025-07-25 16:54:34.363
3635,G1710794468717OA,wow-classic-era-item,ac3f85c1-7562-437e-b125-e89576b9a38e,lgc_27816_dropdown_18:lgc_27816_dropdown_18_54768,2025-07-25 16:54:34.376
3636,G1710804832566AG,wow-classic-era-item,ac3f85c1-7562-437e-b125-e89576b9a38e,lgc_27816_dropdown_18:lgc_27816_dropdown_18_54765,2025-07-25 16:54:34.410
3637,G1707429291975AW,wow-classic-era-item,ac3f85c1-7562-437e-b125-e89576b9a38e,lgc_27816_dropdown_18:lgc_27816_dropdown_18_54766,2025-07-25 16:54:34.683
3638,G1707429304476ZE,wow-classic-era-item,ac3f85c1-7562-437e-b125-e89576b9a38e,lgc_27816_dropdown_18:lgc_27816_dropdown_18_54764,2025-07-25 16:54:34.697
3639,G1706897897664UU,wow-classic-era-item,ac3f85c1-7562-437e-b125-e89576b9a38e,lgc_27816_dropdown_18:lgc_27816_dropdown_18_54765,2025-07-25 16:54:34.699
3640,G1709643331759SO,wow-classic-era-item,ac3f85c1-7562-437e-b125-e89576b9a38e,lgc_27816_dropdown_18:lgc_27816_dropdown_18_54767,2025-07-25 16:54:35.294
3641,G1710794458695QD,wow-classic-era-item,ac3f85c1-7562-437e-b125-e89576b9a38e,lgc_27816_dropdown_18:lgc_27816_dropdown_18_54769,2025-07-25 16:54:35.327
3642,G1707229807697PA,wow-classic-era-item,ac3f85c1-7562-437e-b125-e89576b9a38e,lgc_27816_dropdown_18:lgc_27816_dropdown_18_54764,2025-07-25 16:54:35.335
3643,G1703930320949ER,wow-classic-era-item,ac3f85c1-7562-437e-b125-e89576b9a38e,lgc_27816_dropdown_18:lgc_27816_dropdown_18_54766,2025-07-25 16:54:35.363
